Date,Day,Month,Year,DayOfWeek,WeekofMonth,WeekOfYear,isWeekend,isHoliday,HolidayDesc,PolicyFlag,PCOP_SUM,PCOP_IFS,PCOP_CS,PCOP_LS,PCOP_LSS,PCOP_FS,PCOP_FSS,PCOP_SS33_55_88_CS,PCOP_SS33_55_88_FS,PCOP_SS33_55_88_FSS,PCOP_SS33_55_88_IFS,PCOP_SS33_55_88_LS,PCOP_SS33_55_88_LSS,PCOP_SS33_55_88_Sum,PCOP_SSS1_CS,PCOP_SSS1_CTS,PCOP_SSS1_FS,PCOP_SSS1_FSS,PCOP_SSS1_IFS,PCOP_SSS1_LS,PCOP_SSS1_LSS,PCOP_SSS1_Sum,PCOP_SSS2_CS,PCOP_SSS2_CTS,PCOP_SSS2_FS,PCOP_SSS2_FSS,PCOP_SSS2_IFS,PCOP_SSS2_LS,PCOP_SSS2_LSS,PCOP_SSS2_Sum,PCOP_SSS3_CS,PCOP_SSS3_CTS,PCOP_SSS3_FS,PCOP_SSS3_FSS,PCOP_SSS3_IFS,PCOP_SSS3_LS,PCOP_SSS3_LSS,PCOP_SSS3_Sum,PCOP_SSS0_CS,PCOP_SSS0_CTS,PCOP_SSS0_FS,PCOP_SSS0_FSS,PCOP_SSS0_IFS,PCOP_SSS0_LS,PCOP_SSS0_LSS,PCOP_SSS0_Sum,PCOP_SS22_CS,PCOP_SS22_CTS,PCOP_SS22_FS,PCOP_SS22_FSS,PCOP_SS22_IFS,PCOP_SS22_LS,PCOP_SS22_LSS,PCOP_SS22_Sum,PCOP_SS80_CS,PCOP_SS80_CTS,PCOP_SS80_FS,PCOP_SS80_FSS,PCOP_SS80_IFS,PCOP_SS80_LS,PCOP_SS80_LSS,PCOP_SS80_Sum,PCOP_SS60_CS,PCOP_SS60_CTS,PCOP_SS60_FS,PCOP_SS60_FSS,PCOP_SS60_IFS,PCOP_SS60_LS,PCOP_SS60_LSS,PCOP_SS60_Sum,PCOP_SS77_CS,PCOP_SS77_FS,PCOP_SS77_FSS,PCOP_SS77_IFS,PCOP_SS77_LS,PCOP_SS77_LSS,PCOP_SS77_Sum,SS22_CS,SS22_FS,SS22_FSS,SS22_IFS,SS22_LS,SS22_LSS,SS33_CS,SS33_FS,SS33_FSS,SS33_IFS,SS33_LS,SS33_LSS,SS55_CS,SS55_FS,SS55_FSS,SS55_IFS,SS55_LS,SS55_LSS,SS60_CS,SS60_FS,SS60_FSS,SS60_IFS,SS60_LS,SS60_LSS,SS77_CS,SS77_FS,SS77_FSS,SS77_IFS,SS77_LS,SS77_LSS,SS80_CS,SS80_FS,SS80_FSS,SS80_IFS,SS80_LS,SS80_LSS,SS88_CS,SS88_FS,SS88_FSS,SS88_IFS,SS88_LS,SS88_LSS,SSS0_CS,SSS0_FS,SSS0_FSS,SSS0_IFS,SSS0_LS,SSS0_LSS,SSS1_CS,SSS1_FS,SSS1_FSS,SSS1_IFS,SSS1_LS,SSS1_LSS,SSS2_CS,SSS2_FS,SSS2_FSS,SSS2_IFS,SSS2_LS,SSS2_LSS,SSS3_CS,SSS3_FS,SSS3_FSS,SSS3_IFS,SSS3_LS,SSS3_LSS,SSSA_IFS,SSSH_FSS,SSYY_CS,SSYY_FS,SSYY_FSS,SSYY_IFS,SSYY_LS,SSYY_LSS,ASBCU_SUM,ASBCU_CS,ASBCU_IFS,ASBCU_FS,ASBCU_FSS,ASBCU_LS,ASBCU_LSS,ASBCU_VL99CS,ASBCU_VL99FS,ASBCU_VL99FSS,ASBCU_VL99IFS,ASBCU_VL99LS,ASBCU_VL99LSS,ASBCU_SUM_VL99,PSBCU_SUM,PSBCU_IFS,PSBCU_CS,PSBCU_LS,PSBCU_LSS,PSBCU_FS,PSBCU_FSS,PSBCU_IFS-CS,PSBCU_FS-FSS,PSBCU_LS-LSS
3/1/2016,1,3,2016,2,1,9,0,0,,0,1345,104,116,156,156,225,588,5,7,8,,4,6,30,116,0,225,588,104,156,156,1345,58,0,112,290,51,77,77,665,58,0,113,298,53,79,79,680,98,0,189,500,88,133,133,1141,104,0,202,520,94,137,137,1194,87,0,167,446,77,119,119,1015,98,0,189,500,88,133,133,1141,0,0,0,0,0,0,0,,1,5,,,1,,1,3,,,,,,,,,,,,4,1,,3,,,,,,,,2,3,2,,,,1,1,,1,2,,,,,,,5,18,56,4,6,8,1,2,12,2,,,,2,6,,,1,,,,,,,,,154,6,9,27,90,7,15,,,,,,,,,,,,,,,0,0,0
3/2/2016,2,3,2016,3,1,9,0,0,,0,1324,103,115,152,152,223,579,3,5,14,3,4,5,34,115,0,223,579,103,152,152,1324,58,0,112,290,51,76,76,663,57,0,111,289,52,76,76,661,97,0,187,491,87,130,130,1122,103,0,200,513,93,134,134,1177,86,0,165,437,76,116,116,996,97,0,187,491,87,130,130,1122,0,0,0,0,0,0,0,,,6,,,1,,,2,1,,1,,,,,,,1,1,2,,,,,,,,,,,,1,1,2,5,,2,5,,,,,,,,,,5,19,55,4,14,8,,2,6,2,5,1,,,3,,1,2,,,,1,1,,1,,161,6,8,25,81,23,18,,,,,,,,,,,,,,,0,0,0
3/3/2016,3,3,2016,4,1,9,0,0,,0,1412,110,122,163,163,237,617,4,4,14,1,3,4,30,122,0,237,617,110,163,163,1412,62,0,120,313,55,83,83,716,60,0,117,304,55,80,80,696,102,0,197,515,92,136,136,1178,109,0,212,547,99,144,144,1255,89,0,171,452,79,120,120,1031,102,0,197,515,92,136,136,1178,0,0,0,0,0,0,0,,1,5,,,2,,1,3,,1,,,,,,,,,,1,,,,,,,,,,1,1,5,,,,,1,8,,,1,,,,,,,3,17,57,3,6,12,,2,7,,,,,,3,2,1,,,,,3,1,,,,148,4,5,26,90,8,15,,,,,,,,,,,,,,,0,0,0
3/4/2016,4,3,2016,5,1,9,0,0,,0,1407,110,122,162,162,237,614,4,4,6,,2,4,20,122,0,237,614,110,162,162,1407,62,0,120,310,55,82,82,711,60,0,117,304,55,80,80,696,102,0,197,514,92,137,137,1179,109,0,212,544,99,143,143,1250,91,0,175,460,81,123,123,1053,102,0,197,514,92,137,137,1179,0,0,0,0,0,0,0,,1,9,,,4,,,3,,,,,,,,,,,2,4,,,,,,,,,,,2,9,,4,1,,1,4,,,,,,,,,,2,19,61,3,4,9,1,2,9,,4,1,,1,3,,2,2,,,,2,1,,,,170,3,3,30,103,14,17,,,,,,,,,,,,,,,0,0,0
3/5/2016,5,3,2016,6,1,9,1,0,,0,1404,109,121,163,163,235,613,4,6,15,2,4,5,36,121,0,235,613,109,163,163,1404,63,0,122,318,56,85,85,729,58,0,113,295,53,78,78,675,98,0,189,496,88,132,132,1135,108,0,210,543,98,144,144,1247,87,0,167,442,77,118,118,1009,98,0,189,496,88,132,132,1135,0,0,0,0,0,0,0,,1,6,1,,3,1,,2,1,1,1,,,,,,,,,4,,1,2,,,,,,,,1,6,,1,2,1,1,3,,2,2,,,,,,,1,9,51,4,4,12,1,4,7,,1,,1,,5,,1,2,,,,5,1,1,1,,154,5,7,21,85,12,24,,,,,,,,,,,,,,,0,0,0
3/6/2016,6,3,2016,7,1,9,1,0,,0,1377,107,119,159,159,231,602,4,6,15,1,4,6,36,119,0,231,602,107,159,159,1377,62,0,120,312,55,82,82,713,57,0,111,290,52,77,77,664,97,0,187,491,87,131,131,1124,108,0,210,541,98,142,142,1241,86,0,165,437,76,117,117,998,97,0,187,491,87,131,131,1124,0,0,0,0,0,0,0,,3,5,,,,,1,2,,1,1,,,,,,,1,,2,,1,1,,,,,,,,,1,,2,4,,,6,1,2,2,,,,,,,3,10,51,6,5,5,,1,8,,2,2,1,1,7,,1,1,,,,2,1,,,,143,5,7,18,83,14,16,,,,,,,,,,,,,,,0,0,0
3/7/2016,7,3,2016,1,2,10,0,0,,0,1349,104,116,157,157,225,590,4,9,10,2,4,6,35,116,0,225,590,104,157,157,1349,59,0,114,298,52,80,80,683,57,0,111,292,52,77,77,666,98,0,189,498,88,133,133,1139,104,0,202,524,94,139,139,1202,87,0,167,444,77,119,119,1013,98,0,189,498,88,133,133,1139,0,0,0,0,0,0,0,1,,4,,,2,,,3,,,,,,,,,,1,3,4,,1,1,,,,,,,,2,7,,,4,1,1,5,1,1,,,,,,,,1,19,57,1,7,12,1,2,3,,,,,,5,,,,,2,,4,,1,1,,158,5,3,31,90,10,19,,,,,,,,,,,,,,,0,0,0
3/8/2016,8,3,2016,2,2,10,0,0,,0,1342,104,116,154,154,225,589,3,6,18,1,6,7,41,116,0,225,589,104,154,154,1342,57,0,110,287,51,75,75,655,59,0,115,302,53,79,79,687,99,0,191,505,89,132,132,1148,104,0,202,521,94,135,135,1191,87,0,167,447,77,118,118,1014,99,0,191,505,89,132,132,1148,0,0,0,0,0,0,0,2,2,2,,,2,1,1,4,,,1,,,1,,,1,,,4,,1,2,,,,,,,1,3,5,4,1,4,,1,6,,,,,,,,,,3,15,45,3,8,8,1,1,5,,1,,1,,5,1,,,,,,,,,,,146,9,8,23,77,11,18,,,,,,,,,,,,,,,0,0,0
3/9/2016,9,3,2016,3,2,10,0,0,,0,1273,98,110,146,146,213,560,4,6,17,2,3,7,39,110,0,213,560,98,146,146,1273,56,0,108,282,49,73,73,641,54,0,105,278,49,73,73,632,92,0,177,472,82,124,124,1071,98,0,190,494,88,128,128,1126,81,0,155,418,71,111,111,947,92,0,177,472,82,124,124,1071,0,0,0,0,0,0,0,1,2,4,,,2,,1,2,1,,2,,,1,,,,,1,2,1,1,,,,,,,,,4,2,,2,2,3,1,2,1,1,,,,,,,,3,8,43,2,7,7,,1,8,1,,1,,3,5,,1,,,,,1,,,,,130,7,6,22,69,12,14,,,,,,,,,,,,,,,0,0,0
3/10/2016,10,3,2016,4,2,10,0,0,,0,1411,110,122,162,162,237,618,3,6,19,1,5,6,40,122,0,237,618,110,162,162,1411,62,0,120,313,55,82,82,714,60,0,117,305,55,80,80,697,102,0,197,516,92,135,135,1177,109,0,212,548,99,143,143,1254,89,0,171,453,79,120,120,1032,102,0,197,516,92,135,135,1177,0,0,0,0,0,0,0,,1,3,,,2,1,,3,1,,,,,3,,,,,,1,,,,,,,,,,,2,5,,1,2,1,,8,,1,,,,,,,,5,15,47,,5,7,,2,10,,1,1,1,3,7,,3,1,,1,2,3,1,1,,,151,12,2,26,89,11,13,,,,,,,,,,,,,,,0,0,0
3/11/2016,11,3,2016,5,2,10,0,0,,0,1404,110,122,160,160,237,615,5,4,20,2,3,4,38,122,0,237,615,110,160,160,1404,62,0,120,310,55,81,81,709,60,0,117,305,55,79,79,695,102,0,197,515,92,135,135,1176,109,0,212,545,99,141,141,1247,91,0,175,461,81,122,122,1052,102,0,197,515,92,135,135,1176,0,0,0,0,0,0,0,1,1,6,,1,2,,,3,,1,,,,3,,,1,1,1,2,,,,,,,,,,,2,3,,2,1,,1,6,,1,,,,,,,,3,23,53,5,9,8,2,1,9,,,3,3,1,2,1,,3,,1,1,2,,1,,,170,12,7,32,88,14,18,,,,,,,,,,,,,,,0,0,0
3/12/2016,12,3,2016,6,2,10,1,0,,0,1401,109,121,161,161,235,614,3,10,24,3,5,6,51,121,0,235,614,109,161,161,1401,63,0,122,318,56,84,84,727,58,0,113,296,53,77,77,674,98,0,189,497,88,130,130,1132,108,0,210,544,98,142,142,1244,87,0,167,443,77,117,117,1008,98,0,189,497,88,130,130,1132,0,0,0,0,0,0,0,1,3,2,,1,1,,1,4,,,,,,5,,,,,,1,1,,,,,,,,,1,2,4,,2,3,,1,5,,,1,,,,,,,3,17,57,7,10,11,1,1,8,,1,1,1,2,4,,,2,,,,3,1,,1,,170,7,8,30,91,15,19,,,,,,,,,,,,,,,0,0,0
3/13/2016,13,3,2016,7,2,10,1,0,,0,1375,107,119,157,157,232,603,6,4,22,1,5,6,44,119,0,232,603,107,157,157,1375,62,0,121,312,55,81,81,712,57,0,111,291,52,76,76,663,97,0,188,492,87,129,129,1122,108,0,211,542,98,140,140,1239,86,0,166,438,76,116,116,998,97,0,188,492,87,129,129,1122,0,0,0,0,0,0,0,,,6,,,1,1,1,4,,1,2,1,,3,,1,,,1,2,,,2,,,,,,,1,1,3,,1,2,2,2,8,,,,,,,,,,6,14,59,1,8,13,2,2,8,,3,2,1,,1,1,2,,,,1,1,,,,,171,16,2,22,94,16,22,,,,,,,,,,,,,,,0,0,0
3/14/2016,14,3,2016,1,3,11,0,0,,0,1357,105,117,156,156,227,596,4,3,19,3,5,6,40,117,0,227,596,105,156,156,1357,60,0,116,303,53,80,80,692,57,0,111,293,52,76,76,665,98,0,189,499,88,131,131,1136,105,0,204,530,95,138,138,1210,87,0,167,445,77,118,118,1012,98,0,189,499,88,131,131,1136,0,0,0,0,0,0,0,1,2,3,1,,4,1,,3,1,,,1,1,4,,1,1,,,4,2,1,,,,,,,,,2,4,1,1,5,1,1,4,,,2,,,,,,,3,24,56,5,9,12,,4,13,1,2,1,,1,4,2,1,,,,,2,,,2,,194,7,13,37,95,17,25,,,,,,,,,,,,,,,0,0,0
3/15/2016,15,3,2016,2,3,11,0,0,,0,1342,104,116,154,154,225,589,2,5,19,2,4,5,37,116,0,225,589,104,154,154,1342,57,0,110,287,51,75,75,655,59,0,115,302,53,79,79,687,98,0,189,501,88,131,131,1138,104,0,202,521,94,135,135,1191,87,0,167,447,77,118,118,1014,98,0,189,501,88,131,131,1138,0,0,0,0,0,0,0,2,1,7,,,1,,,4,,1,,,2,2,,1,,1,1,2,,,2,,,,,,,1,2,5,1,3,2,,,3,1,1,,,,,,,,6,15,44,6,12,12,2,1,9,1,3,6,1,2,,1,2,,,,,,,,,,169,13,10,24,76,23,23,,,,,,,,,,,,,,,0,0,0
3/16/2016,16,3,2016,3,3,11,0,0,,0,1323,103,115,151,151,223,580,4,7,18,1,4,6,40,115,0,223,580,103,151,151,1323,58,0,112,290,51,75,75,661,57,0,111,290,52,76,76,662,97,0,187,492,87,129,129,1121,103,0,200,514,93,133,133,1176,86,0,165,438,76,116,116,997,97,0,187,492,87,129,129,1121,0,0,0,0,0,0,0,2,1,5,1,,1,,,4,,,1,,,5,,,1,,1,4,,,,,,,,,,1,2,4,,4,,2,,3,1,1,1,,,,,,,2,17,44,6,9,9,2,5,14,4,2,1,,,3,2,1,,,,,,1,,,,167,9,14,26,87,17,14,,,,,,,,,,,,,,,0,0,0
3/17/2016,17,3,2016,4,3,11,0,0,,0,1400,109,121,161,161,235,613,3,7,21,2,2,5,40,121,0,235,613,109,161,161,1400,61,0,118,309,54,81,81,704,60,0,117,304,55,80,80,696,101,0,195,511,91,134,134,1166,108,0,210,545,98,142,142,1245,89,0,171,452,79,120,120,1031,101,0,195,511,91,134,134,1166,0,0,0,0,0,0,0,1,,7,,1,1,,,6,,,1,,,6,,,1,,1,2,1,2,1,,,,,,,,3,8,,1,1,1,1,5,1,1,1,,,,,,,2,11,38,5,8,13,1,6,10,,3,2,1,2,2,1,2,2,,1,,3,,1,2,,170,6,9,27,85,20,23,,,,,,,,,,,,,,,0,0,0
3/18/2016,18,3,2016,5,3,11,0,0,,0,1404,110,122,160,160,239,613,4,9,15,2,1,8,39,122,0,239,613,110,160,160,1404,62,0,120,310,55,81,81,709,60,0,119,303,55,79,79,695,102,0,199,513,92,135,135,1176,109,0,213,544,99,141,141,1247,91,0,177,459,81,122,122,1052,102,0,199,513,92,135,135,1176,0,0,0,0,0,0,0,,2,3,,,,,,3,1,,1,,2,4,,1,,1,1,4,1,1,1,,,,,,,1,1,7,1,1,1,2,1,5,1,,2,,,,,,,5,14,43,3,12,6,,4,13,3,3,4,,2,4,,2,,,1,,,,,1,,169,9,10,27,87,21,15,,,,,,,,,,,,,,,0,0,0
